138,83
142,90
154,115
158,122
159,89
192,65
193,65
194,65
195,65
196,65
197,65
199,67
200,69
201,69
202,69
203,69
204,73
205,73
206,73
207,73
209,78
210,79
211,79
212,79
213,79
214,79
216,79
217,85
218,85
219,85
220,85
221,89
224,97
225,97
226,97
227,97
228,97
229,97
231,99
232,101
233,101
234,101
235,101
236,105
237,105
238,105
239,105
241,110
242,111
243,111
244,111
245,111
246,111
248,111
249,117
250,117
251,117
252,117
253,121
255,121
337,111
336,79
345,114
382,122
353,115
268,67
357,116
283,101
352,83
356,84
282,69
381,90
269,99
8211,45
346,83
281,101
321,76
322,108
347,115
280,69
344,82
324,110
323,78
261,97
260,65
379,90
380,122
